id,title,description,topic_categoriesthumbnail,tags,distracting,topic_categories,category,thumbnail
4h1bj9hTpuc,Agile Scrum Roles,Ready to explore the key players in the Agile Scrum orchestra? Join us in this insightful video as we uncover the roles that shape ...,,,0,"['Education', 'maths']",27.0,
NvChvffEeZQ,Scrum In a Nutshell Webinar | Scrum Roles | Scrum Framework | Scrum Principles & Values,"Scrum In a Nutshell! There are a lot of ways in which you can learn about Scrum, and a good starting point is the #ScrumGuide.",,,0,"['Education', 'maths']",27.0,
o1KWm4dFT98,Scrum Roles Explained!,"Scrum Roles Explained! In this video, we break down the essential roles in the Scrum framework: the Development Team, ...",,,0,"['Education', 'maths']",27.0,
XmZcz_1bnX0,#33 Scrum Roles | Dakshinamurthy Creations,"In this video, you will learn about Scrum Roles and Responsibilities - Product Owner, Scrum Master and Team members.",,,0,"['Education', 'maths']",27.0,
Zp9qoVmsOPg,Scrum Roles,"6. Unlike traditional teams, Scrum teams are self-managing, cross-functional, and driven by Agile principles for continuous ...",,,0,"['Education', 'maths']",27.0,
wCEF848ud2k,How does Scrum Roles compare to Traditional Roles? - Agile tips from MEQIFY,How can Empowerment of a Development Team be illustrated? MEQIFY has seen how Traditional Roles change when replaced ...,,,0,"['Education', 'maths']",27.0,
gHnKB1PCtuU,Agile Tutorial #7 - Roles in SCRUM team | 3 Roles in SCRUM,"Help me in spreading the knowledge, please hit LIKE, SHARE and SUBSCRIBE for latest tutorials. More tutorial playlists below: ...",,,0,"['Education', 'maths']",27.0,
Iz-S9S2BmFA,Exploring Scrum Roles,Unravel the mysteries behind the 3 Scrum roles.,,,0,"['Education', 'maths']",27.0,
UNjODFIzhFE,Agile Scrum Roles and Responsibilities,"What are the main roles in Agile Scrum methodology? In this video, you will learn about the Scrum team, its main roles, and its ...",,,0,"['Education', 'maths']",27.0,
GEgnwfKr9jc,Scrum Lecture 2: Scrum Roles and Responsibilities,"Scrum is a popular Agile framework used for software development, project management, and other collaborative work. It is based ...",,,0,"['Education', 'maths']",27.0,
8o94Rl_u0CA,Video 6 Scrum Roles,"Title: Scrum Roles Explained by IT Director Stephanie - Master Scrum in Your Daily Work! Join Stephanie, an experienced IT ...",,,0,"['Education', 'maths']",27.0,
IVWBZYNFsqY,The Essential Scrum Roles: Unveiling the Key Actors in Agile Development || Skillweed,The Essential Scrum Roles: Unveiling the Key Actors in Agile Development || Skillweed Discover the core roles that drive success ...,,,0,"['Education', 'maths']",27.0,
bJHpJo73oDc,Scrum Roles | Agile Framework Series,"Scrum, a brief look into using the scrum framework for software development Content from: Atlassian ...",,,0,"['Education', 'maths']",27.0,
EG4LabA1234,SCRUM | Introduction | S1P6 | SCRUM Roles,"This series is an introduction to SCRUM, where we (Trine and Lars) try to demystify the SCRUM framework for new developers.",,,0,"['Education', 'maths']",27.0,
4mCWprI4_ts,2.6 Scrum Roles,,,,0,"['Education', 'maths']",27.0,
ovoYBbmORJ8,Large Scale Scrum: Roles and Duties in Large Scale Scrum Projects,Within this video we discuss Large Scale Scrum. Covering the ideas and concepts of scrum. Don't forget to Subscribe and Like for ...,,,0,"['Education', 'maths']",27.0,
Zce0CcIXooo,Scrum Roles & Responsibilities FAQ - Scrum - Bean Stalk,Scrum is the most popular Agile framework and it's helpful to understand the 3 roles in Scrum and how responsibilities are divided ...,,,0,"['Education', 'maths']",27.0,
LwvizReLWb0,How to change a mindset for scrum roles?,How to change a mindset for scrum roles? One of the frequently asked questions in the Scrum Interview Series. When moving ...,,,0,"['Education', 'maths']",27.0,
KVpZVlplep4,About Scrum | Bite Size | Scrum Roles & Responsibilities | Scrum Values | Scrum Team Performance,About Scrum | Bite Size | Scrum Roles & Responsibilities | Scrum Values | Scrum Team Performance Ways of Working in Scrum ...,,,0,"['Education', 'maths']",27.0,
g4H0EUckKhc,Scrum roles CSM EXAM questions and answers,"Vivid Colors providing a Scrum roles certification provided online form industry expert trainers with real time project experience, ...",,,0,"['Education', 'maths']",27.0,
m97TBks6a8Q,What is Scrum Framework | Different Scrum Roles | Scrum framework in agile |Scrum roles,Certified scrum Master Certified scrum Master scrum alliance certfied scrum master trainer Certified Scrum trainer Certified Scrum ...,,,0,"['Education', 'maths']",27.0,
MUI4xnS8fAE,The Three Scrum Roles,In this session we will discuss about The Three Scrum Roles. Get full access to Agile Development Software Practices Scrum ...,,,0,"['Education', 'maths']",27.0,
maiPq6yhnfY,Scrum Roles: Development Team. Agile project management,Scrum: in general Express Scrum course + Tips on how to get started quickly Link to the full course: ...,,,0,"['Education', 'maths']",27.0,
-WVSzjXFFuQ,Episode 1: Scrum Roles. Welcome to this mini series on the fundamentals of Scrum methodology,Episode 1: Scrum Roles. Welcome to this mini series on the fundamentals of Scrum methodology where we will Explore the scrum ...,,,0,"['Education', 'maths']",27.0,
oopxM1bIFVQ,What are Scrum Roles | #youtubeshorts | #shortsvideo | #trending,What are Scrum Roles? Scrum roles refer to the specific responsibilities and functions within the Scrum framework. The three core ...,,,0,"['Education', 'maths']",27.0,
fwtIsq-vIkI,Module 2: Mastering Scrum Roles! [Scrum Master Course],"Discover the power of Scrum, the leading framework for agility and flexibility in software development! In this video, we delve into ...",,,0,"['Education', 'maths']",27.0,
5a2UHzcPVB4,60 Second Scrum: Combining Scrum Roles,"Is it OK to combine Scrum roles? The answer is ""sometimes"", but these combinations can come at a cost. Learn more in our latest ...",,,0,"['Education', 'maths']",27.0,
uAGf-t0Rols,Scrum Roles Webinar - 09/20/24,,,,0,"['Education', 'maths']",27.0,
TqmgNlJuWRU,Scrum Roles and Responsibilities | CSM Certification Training | StarAgile,Ready to take your Agile journey to the next level? Dive deep into Scrum roles and responsibilities with StarAgile's Certified ...,,,0,"['Education', 'maths']",27.0,
i-yyNrrjiWg,Scrum Roles Explained – Who Does What in an Agile Team?,Scrum Roles Explained – Who Does What in an Agile Team? Scrum is one of the most effective frameworks in agile project ...,,,0,"['Education', 'maths']",27.0,
BBjpplaKLzs,Scrum Roles - Scrum Master,Agile Coach: Ranjith Venkatesh Company: Moss and Lichens Website: https://mossandlichens.com/,,,0,"['Education', 'maths']",27.0,
qQuPhObYH4w,The #1 Mistake That's Costing You Money in Scrum Roles,Juggling roles without the paycheck to match? You're not alone. Many professionals are hired for ONE job but end up doing the ...,,,0,"['Education', 'maths']",27.0,
lM38mXNBIAk,What is a Scrum Master and Their Role? Updated for 2024,"Who runs the scrum? The scrum master. When it comes to management and communication in project meetings, the scrum ...",,,0,"['Education', 'maths']",27.0,
6hXCsxqxkG8,5. Scrum Roles - What does a scrum master do? What are the roles?,"Here you go, I explain what are the scrum roles available and what all scrum master does.",,,0,"['Education', 'maths']",27.0,
wAZ5OUk_qQE,02 Three Scrum Roles,,,,0,"['Education', 'maths']",27.0,
JNTfrNCsxPs,Ep. 2 - Scrum Roles – Who Does What Now?,"Scrum has three key roles: Product Owner, Scrum Master, and Developers—but what do they actually do? By the end, you'll know ...",,,0,"['Education', 'maths']",27.0,
kGO9i14NAoU,Scrum Roles – Demystifying the who in Scrum and Scrum@Scale with Certified Trainer Ernesto Custodio,The webinar explores the expectations and responsibilities of the different Scrum Roles. This session clarifies the different roles ...,,,0,"['Education', 'maths']",27.0,
adciglatel4,Dealing with a Product Owner or Scrum Master Playing Additional Roles on the Scrum Team,"In this Scrum Tapas video, Professional Scrum Trainer Ravi Vajaria discusses some of his experiences when a Product Owner or ...",,,0,"['Education', 'maths']",27.0,
9VJFIer7zXE,Scrum Roles - Everything you need to know!!!,Day 2 of the 3-Day Scrum Mastery Challenge continues the journey. Have you ever wondered which Scrum role suits you best?,,,0,"['Education', 'maths']",27.0,
dDmNhn-qhZs,Scrum Roles: Who Does What?,"Vabro is a leading provider of cutting-edge Agile product development and project delivery solutions, dedicated to empowering ...",,,0,"['Education', 'maths']",27.0,
38qjbg90KNU,Scrum Roles Scrum Master A v1,,,,0,"['Education', 'maths']",27.0,
wMCLc5CFy0I,Intro to Scrum Roles - Business Analyst Training,In today's Business Analyst Training we are talking about the different scrum roles and how can work in Jira seamlessly. Get your ...,,,0,"['Education', 'maths']",27.0,
273QFEkRjX8,Agile Project Management | 4 Scrum Roles Understaning characters of scrum roles,"Learn what scrum is and how to use agile practices like Capacity Driven Planning, Velocity Driven Planning, Kick Off Meetings, ...",,,0,"['Education', 'maths']",27.0,
zp2Cd-zlHok,"Scrum roles, events, artifacts, and rules","In this lecture you will learn how to practice scrum, learn which roles are involved how in Scrum and the events held. artifacts used ...",,,0,"['Education', 'maths']",27.0,
eyWHfW5Wi_U,An Overview of Scrum Roles,This is an overview from one of our Agile classes (https://school.develpreneur.com/p/software_development_life_cycle). You can ...,,,0,"['Education', 'maths']",27.0,
DJa7FQIffoU,Scrum Roles,5. Understand the key roles in a Scrum Team and how they collaborate to deliver value efficiently.,,,0,"['Education', 'maths']",27.0,
bKfx-4X637U,Scrum Project Roles,"The video explains the different roles and responsibilities in a Scrum project such as the Product Owner, the Scrum Master, and ...",,,0,"['Education', 'maths']",27.0,
dIp1IrsMCyw,What are the key roles in Scrum? Scrum Roles Explained!,Learn about the key roles in the Scrum framework in this informative video! Scrum is a popular Agile method for managing ...,,,0,"['Education', 'maths']",27.0,
i7yjoqU0Gak,Scrum Roles,Source: https://www.podbean.com/eau/pb-ze4nm-132dd4f What does a Scrum Master do? What's the responsibility of a Product ...,,,0,"['Education', 'maths']",27.0,
n4DREZjsVNA,Navigating Your Career in Agile - Scrum Roles and Certifications,"Ready to take your career to new heights in the dynamic world of Agile - Scrum? Join us in today's video, ""Career and ...",,,0,"['Education', 'maths']",27.0,
EQIjIKkHIm4,Scrum Roles,"7. Explore the challenges and benefits of shared responsibilities in Scrum, including increased flexibility, collaboration, and ...",,,0,"['Education', 'maths']",27.0,
YQsZ2GYKKu8,ZenTao Intro-Scrum Roles,ZenTao supports agile development. See what feature each Scrum role uses in ZenTao.,,,0,"['Education', 'maths']",27.0,
DxkuVQm-qt8,Scrum Roles: Who Is Responsible For Doing All This Stuff?!,"In this video we take a look at the Scrum roles of Scrum Master, Product Owner and development Team Member, and ask the ...",,,0,"['Education', 'maths']",27.0,
SNzd42YOjuQ,Scrum Roles || Scrum Roles & Responsibilities || What are 3 scrum Roles? || Scrum Roles,Scrum Roles || Scrum Roles & Responsibilities || What are 3 scrum Roles? || Scrum Roles Scrum Roles. Scrum Roles ...,,,0,"['Education', 'maths']",27.0,
UYvsm53cyto,Different roles of Scrum team | Scrum Team Member | Scrum Team structure #scrum,Different roles of the Scrum team and their skills sets Agile Team | Scrum Team Size https://youtu.be/SHFSJ4FYNec Who is the ...,,,0,"['Education', 'maths']",27.0,
QyBCB_dOInI,Scrum Roles Scrum Foundations eLearning Series,"In Scrum, a popular Agile framework for project management, there are specific roles and responsibilities that contribute to the ...",,,0,"['Education', 'maths']",27.0,
RK0A8d15UqM,Scrum roles 👀 (Explained for recruiters in IT),#it #itrecruitment #techrecruitment #techjobs #training #howtohire #hiresoftwaredevelopers #technicalrecruitmentagency ...,,,0,"['Education', 'maths']",27.0,
3sQpeEERrWo,QS Trainings - I Scrum Roles and Events I,SCRUM Book Free Webinars with us. For bookings -Email at contact@qstrainings.com www.qstrainings.com ...,,,0,"['Education', 'maths']",27.0,
4zsA2c-gnUs,Scrum Roles in 5 min,This videos talks about the Roles played in Scrum.,,,0,"['Education', 'maths']",27.0,
q8zzd0gJ6bs,Scrum Roles and Responsibilities Presentation,My Scrum Roles.,,,0,"['Education', 'maths']",27.0,
1JurZ-o9sCY,The Ultimate Guide to the Scrum Framework: Scrum Roles Episode 3,"Welcome back to our Scrum series! In this episode, we dive into the three key roles in Scrum—Product Owner, Scrum Master, and ...",,,0,"['Education', 'maths']",27.0,
12oFihrlWU0,Scrum Roles,PMI.ORG --------------- PMI DASSM DASM ----------------- SCALEDAGILE.COM ----------------- SAFe 6 Agilist (Leading SAFe) SAFe 6 ...,,,0,"['Education', 'maths']",27.0,
31EY1kRfw0g,Feb 2024 Leader SIG: Agile Fusion in Action: Merging Agile/Scrum Roles -- Stephanie Gregg,Topic Title: Agile Fusion in Action: Real-Life Experiences of Merging /Agile Scrum Roles Topic Description: As companies are ...,,,0,"['Education', 'maths']",27.0,
PkPJsSVjnUY,Ep 2: Mastering Scrum Roles and Responsibilities,Mastering Scrum Roles and Responsibilities: focusing on roles and responsibilities within the Scrum framework and how Hundred ...,,,0,"['Education', 'maths']",27.0,
spUUz2xrtig,"Scrum Framework (Roles, Events, Artifacts) PSM I","Scrum defines four events that occur inside each Sprint: Sprint Planning, Daily Scrum, Sprint Review, and Sprint Retrospective.",,,0,"['Education', 'maths']",27.0,
VseEPQ_LJQE,Scrum Roles and Responsibility,Basics of Scrum Roles and Responsibility Facebook Page https://www.facebook.com/agiledigest/ You tube channel ...,,,0,"['Education', 'maths']",27.0,
pKnQWD3mw_M,Scrum Roles By Simant Shrestha,,,,0,"['Education', 'maths']",27.0,
36lAOeOwwQU,Anything But Waterfall - Scrum Roles,This video gives a brief introduction of scrum roles and how to identify those roles to your project.,,,0,"['Education', 'maths']",27.0,
QX7Taz8IKFs,"Video Response to Atlassian Agile Coach Scrum series video ""Scrum Roles Explained""",Next up in Atlassian's series is a brief introduction to the three roles in the Scrum framework. Most of this is in line with the Scrum ...,,,0,"['Education', 'maths']",27.0,
gNgkKN_F__M,BERTEIG Real Agility Series - Introduction to Scrum - 03 - The Scrum Roles,"Mishkin Berteig, CST, describes the members of a Scrum team and their roles. Transform your business. https://www.berteig.com.",,,0,"['Education', 'maths']",27.0,
3-Dh9suZtw0,Scrum Roles and Responsibilities #ScrumRolesExplained #AgileLeadership #ScrumTeamRoles,"In this insightful video, we'll explore the crucial roles in Scrum and the concept of empirical process control that underpins the ...",,,0,"['Education', 'maths']",27.0,
AGDyFjLgWkw,Summary of Responsibilities #Scrum #Roles #responsibilities,Summarize the key responsibilities of Scrum roles and understand how they fit into the Scrum framework to ensure project ...,,,0,"['Education', 'maths']",27.0,
Em2lwTRAQxM,Scrum Roles in the Real World | Humanizing Work Show | Mailbag,"In this episode, Richard and Peter answer the question: “I get the basic definitions of the Scrum roles. In the real world, though, ...",,,0,"['Education', 'maths']",27.0,
wrv_wGVmjDg,Scrum Roles Core Role Scrum Team A v1,,,,0,"['Education', 'maths']",27.0,
Bgly2rthUbo,"Scrum Framework Part 02 : What is Scrum ? (Roles, Values, Artifacts)","What You'll Learn: In this video series, we'll cover all you need to know about the Scrum Framework. Part 01 : Why we need ...",,,0,"['Education', 'maths']",27.0,
k4mQuWYgkIA,Scrum Roles - Scrum On My Fridge,"Final piece of the puzzle - the Scrum Roles. Here we take a look at the Development Team, the Scrum Master and the Product ...",,,0,"['Education', 'maths']",27.0,
xsieNxc5vxY,"Scrum Roles, Events & Artifacts - JAN 2019 ADG",In this initial episode of PMINJs Agile Discussion Group - learn more about the basics of SCRUM with hosts Nitin Khanna & Bob ...,,,0,"['Education', 'maths']",27.0,
gn7BNW9ERHo,Why Scrum Roles are Required??? By JP (Jayaprakash Prabhakar) - Leanwisdom,Get in touch with us Facebook - https://www.facebook.com/leanwisdom LinkedIn - https://www.linkedin.com/company/leanwisdom/,,,0,"['Education', 'maths']",27.0,
wSVq6v-nCL8,"Understanding the Roles in Projects, Programs and Portfolios in Scrum","Within this video we discuss Understanding the Roles in Projects, Programs and Portfolios in Scrum. Covering the Scrum roles ...",,,0,"['Education', 'maths']",27.0,
D9Uf4TS40Gg,How do you know which Scrum role is right for you?,"Are you looking to get started in Scrum but need help determining which role is right for you? In this video, Karim Harbott explains ...",,,0,"['Education', 'maths']",27.0,
IIsNVlq-iv0,"Scrum Roles-Teams and Tuckman's Model, Scrum Artifacts","Hello, welcome to scrum and Agile Digest. This video series will analyze all the scrum concepts along with the following; ...",,,0,"['Education', 'maths']",27.0,
_AJ7itwQTRw,Scrum Roles - Who Does What?,"Scrum, a popular framework within Agile project management, emphasizes collaboration, flexibility, and iterative progress. Central ...",,,0,"['Education', 'maths']",27.0,
nX6xrnmpPYc,Commitment and the Scrum Project Roles,Within this video we discuss the Scrum project roles and the Scrum Team commitment. Covering the chicken and pig story?,,,0,"['Education', 'maths']",27.0,
